SaleID,Product,Quantity,Price,Shop,SaleDate
51,Bread,17,17.61,Ramstore,2023-07-25
52,Cheese,16,10.79,Ramstore,2023-11-22
53,Yogurt,15,19.49,Ramstore,2023-07-13
54,Milk,15,12.44,Ramstore,2023-07-25
55,Bread,5,5.25,Ramstore,2023-09-06
56,Cheese,14,16.61,Ramstore,2023-11-15
57,Cheese,2,7.56,Ramstore,2023-09-05
58,Bread,11,7.6,Ramstore,2023-10-17
59,Yogurt,19,1.6,Ramstore,2023-11-23
60,Bread,7,11.43,Ramstore,2023-10-19
61,Milk,6,11.15,Ramstore,2023-10-19
62,Bread,2,7.76,Ramstore,2023-08-03
63,Cheese,6,17.99,Ramstore,2023-10-19
64,Bread,18,3.45,Ramstore,2023-07-08
65,Yogurt,2,7.27,Ramstore,2023-12-15
66,Butter,18,7.11,Ramstore,2023-10-21
67,Bread,15,2.75,Ramstore,2023-09-21
68,Yogurt,19,10.14,Ramstore,2023-08-11
69,Yogurt,2,14.07,Ramstore,2023-12-16
70,Cheese,6,10.72,Ramstore,2023-10-09
71,Yogurt,1,3.98,Ramstore,2023-07-06
72,Yogurt,15,8.17,Ramstore,2023-12-27
73,Yogurt,10,1.05,Ramstore,2023-07-26
74,Yogurt,19,17.5,Ramstore,2023-09-02
75,Milk,17,2.61,Ramstore,2023-12-31
76,Milk,5,12.35,Ramstore,2023-08-28
77,Cheese,4,19.74,Ramstore,2023-10-17
78,Bread,10,11.2,Ramstore,2023-10-29
79,Yogurt,17,18.56,Ramstore,2023-08-02
80,Bread,10,5.49,Ramstore,2023-12-28
81,Bread,17,15.44,Ramstore,2023-11-27
82,Cheese,5,11.09,Ramstore,2023-07-21
83,Yogurt,2,14.69,Ramstore,2023-09-08
84,Yogurt,6,2.18,Ramstore,2023-10-20
85,Butter,2,3.81,Ramstore,2023-07-04
86,Bread,13,3.53,Ramstore,2023-10-02
87,Bread,11,14.06,Ramstore,2023-09-13
88,Milk,11,17.04,Ramstore,2023-08-31
89,Butter,16,15.24,Ramstore,2023-10-02
90,Milk,11,1.58,Ramstore,2023-10-03
91,Milk,19,17.48,Ramstore,2023-11-29
92,Milk,15,7.73,Ramstore,2023-08-24
93,Cheese,16,8.55,Ramstore,2023-11-14
94,Cheese,11,2.99,Ramstore,2023-11-08
95,Milk,16,15.01,Ramstore,2023-07-31
96,Butter,8,4.46,Ramstore,2023-08-09
97,Bread,4,11.72,Ramstore,2023-08-05
98,Butter,8,16.97,Ramstore,2023-11-29
99,Yogurt,4,2.69,Ramstore,2023-07-06
100,Cheese,3,11.17,Ramstore,2023-09-04
